sample_id,model,duration_s,ref_chars,hyp_chars,chunks_failed,wer,cer,en_spans_total,en_spans_recalled,eesr,eesr_clinical_total,eesr_clinical_recalled,eesr_clinical,cir_total,cir,cir_missed,spr_total,spr,spr_missed,gold_cmi,hyp_cmi,cmi_delta,latency_ms_mean_per_chunk,missed_clinical_spans
Acute Appendicitis,jacaranda-asr-stt,389.27,3951,2735,0,0.5291,0.3999,36,18,0.5,0,0,,0,,,0,,,20.260000228881836,43.75,23.49,21609,
Asthma,jacaranda-asr-stt,409.75,3441,2268,0,0.5774,0.4006,39,12,0.3077,0,0,,0,,,0,,,48.630001068115234,23.39,25.24,17685,
Bronchopneumonia,jacaranda-asr-stt,439.68,3640,2671,0,0.5519,0.4003,52,20,0.3846,0,0,,0,,,0,,,45.470001220703125,48.79,3.32,24612,
Depression,jacaranda-asr-stt,445.57,4073,2595,0,0.6238,0.4406,62,21,0.3387,6,3,0.5,1,1.0,,1,1.0,,47.029998779296875,30.73,16.3,21619,"what about other people being around? Do you like other people being around? No, I prefer being alone. I'm also interested in regards to your sleep. | issues with sleep? | you describe your mood"
Diabetes Mellitus,jacaranda-asr-stt,468.39,4445,3442,0,0.5648,0.3218,42,12,0.2857,2,0,0.0,0,,,0,,,29.18000030517578,17.17,12.01,21343,low abdominal pains? | low abdominal pains.
Drug-induced Psychosis,jacaranda-asr-stt,628.37,5409,4001,0,0.5825,0.3928,79,31,0.3924,3,0,0.0,0,,,0,,,45.630001068115234,38.05,7.58,23667,"And how have you been sleeping? My sleep, | I don't sleep well. | your mental state, is that okay? It is fine.Okay, thank you. How are you feeling today? I'm fine. How would you describe your mood? Mood"
Febrile Convulsion,jacaranda-asr-stt,685.55,6640,4854,0,0.6336,0.4096,106,38,0.3585,0,0,,0,,,0,,,37.16999816894531,32.52,4.65,25705,
Hypertension,jacaranda-asr-stt,377.56,3576,2452,0,0.562,0.4037,32,4,0.125,2,0,0.0,0,,,0,,,38.7599983215332,44.79,6.03,21823,"and what else do you feel? I have also been having issues with my sleep. I barely sleep these days. And are you sometimes aware of your own heartbeat? I can feel my own heartbeat, ocassionally. | Have you recently been in a stressful envirnoment? I can't say I have been in a stressful environment, and I haven't been experiencing stressful events. And how about your salt consumption? Do you take a lot of salt with your food? Not that much."
Osteoarthritis,jacaranda-asr-stt,385.15,3312,2001,0,0.6393,0.4391,31,6,0.1935,0,0,,0,,,0,,,36.75,18.18,18.57,20351,
PID,jacaranda-asr-stt,516.29,4791,3881,0,0.4231,0.2906,60,30,0.5,1,0,0.0,0,,,0,,,24.520000457763672,37.29,12.77,15218,"I feel like I have exhausted everything that I've been having. Okay. That is good. Well, I would like you to do some few investigations and you come back to me afterwards. I feel like you need to do some few blood investigations and we may take in some swab for culture so that we see how we may help you. And depending on the outcomes, we may also do an ultrasound. Is that fine with you? Anything to get some help,"
Stroke,jacaranda-asr-stt,358.53,3132,1823,0,0.605,0.4598,45,14,0.3111,0,0,,0,,,0,,,46.18000030517578,32.35,13.83,11965,
Tuberculosis,jacaranda-asr-stt,435.48,3769,2591,0,0.4848,0.3822,32,13,0.4062,1,0,0.0,0,,,0,,,29.190000534057617,44.31,15.12,12465,"so there’s no constant place that I live, but I live alone. You travel for work? Yes, I travel for work reasons. Do you take alcohol? Not as often. I only take alcohol during social events. And do you smoke? I do smoke. How many cigarettes do you smoke in a day, if you can make an estimation? Roughly"
Acute Appendicitis,whisper-large-v3-auto,389.27,3951,4102,0,0.2179,0.1196,36,31,0.8611,0,0,,0,,,0,,,20.260000228881836,28.61,8.35,12910,
Asthma,whisper-large-v3-auto,409.75,3441,3471,0,0.2928,0.0952,39,32,0.8205,0,0,,0,,,0,,,48.630001068115234,42.77,5.86,12082,
Bronchopneumonia,whisper-large-v3-auto,439.68,3640,3732,0,0.4171,0.1843,52,34,0.6538,0,0,,0,,,0,,,45.470001220703125,44.67,0.8,20326,
Depression,whisper-large-v3-auto,445.57,4073,4115,0,0.3077,0.1121,62,52,0.8387,6,6,1.0,1,1.0,,1,1.0,,47.029998779296875,48.07,1.04,18582,
Diabetes Mellitus,whisper-large-v3-auto,468.39,4445,4445,0,0.4434,0.2054,42,34,0.8095,2,2,1.0,0,,,0,,,29.18000030517578,26.61,2.57,27300,
Drug-induced Psychosis,whisper-large-v3-auto,628.37,5409,5492,0,0.3712,0.1871,79,72,0.9114,3,3,1.0,0,,,0,,,45.630001068115234,46.09,0.46,37554,
Febrile Convulsion,whisper-large-v3-auto,685.55,6640,6766,0,0.4245,0.1705,106,85,0.8019,0,0,,0,,,0,,,37.16999816894531,37.97,0.8,52081,
Hypertension,whisper-large-v3-auto,377.56,3576,3578,0,0.3289,0.1599,32,26,0.8125,2,1,0.5,0,,,0,,,38.7599983215332,40.38,1.62,16660,"Have you recently been in a stressful envirnoment? I can't say I have been in a stressful environment, and I haven't been experiencing stressful events. And how about your salt consumption? Do you take a lot of salt with your food? Not that much."
Osteoarthritis,whisper-large-v3-auto,385.15,3312,3301,0,0.3161,0.1146,31,26,0.8387,0,0,,0,,,0,,,36.75,33.16,3.59,21444,
PID,whisper-large-v3-auto,516.29,4791,4606,0,0.2578,0.1501,60,53,0.8833,1,1,1.0,0,,,0,,,24.520000457763672,31.88,7.36,38021,
Stroke,whisper-large-v3-auto,358.53,3132,3154,0,0.341,0.1471,45,35,0.7778,0,0,,0,,,0,,,46.18000030517578,48.15,1.97,23596,
Tuberculosis,whisper-large-v3-auto,435.48,3769,3900,0,0.2612,0.1382,32,28,0.875,1,1,1.0,0,,,0,,,29.190000534057617,35.18,5.99,42894,
Acute Appendicitis,whisper-large-v3-sw,389.27,3951,4153,0,0.2774,0.177,36,30,0.8333,0,0,,0,,,0,,,20.260000228881836,38.39,18.13,24885,
Asthma,whisper-large-v3-sw,409.75,3441,3471,0,0.2928,0.0952,39,32,0.8205,0,0,,0,,,0,,,48.630001068115234,42.77,5.86,10488,
Bronchopneumonia,whisper-large-v3-sw,439.68,3640,3722,0,0.3705,0.1491,52,36,0.6923,0,0,,0,,,0,,,45.470001220703125,49.85,4.38,19055,
